书名,作者,出版社,ISBN,出版年,分类号,索书号,记录ID
集合住宅,"(西班牙)阿里安·莫斯泰迪,何炳威",云南科技出版社,7-5416-1771-7,2003,TU241.2,TU241.2/1,97949
商务园林与屋顶花园,"(西)弗朗西斯科·阿森西奥·切沃,吴锦绣",江苏科学技术出版社,7-5345-3622-7,2002,TU985.12,TU985.12/3,97948
创新建筑,(西)弗朗西斯科·阿森西奥·切沃,安徽科学技术出版社,7-5337-2980-3,2004,TU206,TU206/44,97947
数字图像处理 : Java编程与实验,孙燮华,机械工业出版社,978-7-111-31849-1,2011,TN911.73,TN911.73/12,97946
别说你懂商业计划书,王爻,机械工业出版社,978-7-111-33563-4,2011,H152.3,H152.3/146,97945
2006中国房地产市场展望,沈大风主,中国市场出版社,978-7-5092-0003-2,2006,F299.233.5,F299.233/29,97944
安徽美术50年 : 1949年～1999年,骆惠宁主,安徽美术出版社,7-5398-0838-1,2000,J121,J121/38,97943
图形信息表达基础教程. 影印版,"Gary R. Bertoline, Eric N. Wiebe,童秉枢",清华大学出版社,978-7-302-15624-6,2007,TB237,TB237/10,97942
证券期货稽查常用法律法规汇编. 下,中国证券监督管理委员会稽查一局,首都经济贸易大学出版社,978-7-5638-1447-3,2007,D922.28,D922.28/3:2,97941
证券期货稽查常用法律法规汇编. 上,中国证券监督管理委员会稽查一局,首都经济贸易大学出版社,978-7-5638-1447-3,2007,D922.28,D922.28/3:1,97940
皎白月光,姚嘉卉,海天出版社,978-7-5507-2735-9,2019,I267,I267/1801,9794
玩转iPhone手机全攻略,华师傅资讯,机械工业出版社,978-7-111-33534-4,2011,TN929.53,TN929.53/22,97939
服装心理学概论. 2版,赵平等,中国纺织出版社,7-5064-3011-8,2004,TS941.12,TS941.12/5,97938
生物降解聚合物及其在工农业中的应用,(美)Ray Smith,机械工业出版社,978-7-111-30578-1,2011,X172,X172/3,97937
城市街道与广场,(西班牙)弗朗西斯科·阿森西奥·切沃,江苏科学技术出版社,7-5345-3570-0,2002,TU984.1,TU984.1/3,97936
创新建筑,(西)弗朗西斯科·阿森西奥·切沃,安徽科学技术出版社,7-5337-2980-3,2004,TU206,TU206/44,97935
中国城镇供水技术发展手册,洪觉民，陆坤明，何寿平主,中国建筑工业出版社,978-7-112-08042-7,2006,TU991.92,TU991.92/1,97934
网络科学 : 原理与应用 : theory and applications,(美)Ted G. Lewis,机械工业出版社,978-7-111-35966-1,2011,TP393,TP393/147,97933
水利水电工程施工质量检验及评定规程标准应用指南,水利水电工程施工质量检验及评定规程标准应用指南写组,中国水利水电出版社,978-7-5084-5351-4,2008,TV5,TV5/7,97932
管理信息系统 : 管理数学化公司 : managing the digital firm. 影印版,"Kenneth C. Laudon, Jane P. Laudon",高等教育出版社,978-7-04-023966-9,2008,F270.7,F270.7/68,97931
一百个女人谈男人,高志鹏,新世界出版社,7-80728-197-9,2012,B84-49,B84-49/60,97930
深圳诗章 : 谢湘南诗集,谢湘南,文汇出版社,978-7-5496-2840-7,2019,I227,I227/458,9793
一个女人谈女人,高志鹏,新世界出版社,7-80278-197-9,2012,B84-49,B84-49/59,97929
机械设计基础,任成高主,机械工业出版社,7-111-18373-8,2006,TH122,TH122/87,97928
中华传统节日. 中秋节,张书菊,东北师范大学出版社,978-7-5602-7335-8,2011,K892.1,K892.1/13,97927
荡气回肠的60篇名人自白,刘晓树,天津科学技术出版社,978-7-5308-4958-3,2009,I16,I16/77,97926
常青藤精英教育法,张问渠,新世界出版社,978-7-80187-482-5,2005,G78,G78/199,97925
小学生英汉词典,王建伟等,中国和平出版社,9787500078500,1994,G6,G6/2,97924
机械加工常用量具、量仪数据速查手册. 2版,王健石，朱炳林主,机械工业出版社,978-7-111-31552-0,2010,TG8-62,TG8-62/2,97923
实用滚动轴承手册. 2版,祝燮权主,上海科学技术出版社,978-7-5323-9905-5,2010,TH133.33,TH133.33/1,97922
小学生数学词典 : 彩图版. 修订版,"主刘勇, 张艳军, 罗姗姗",中国大百科全书出版社,978-7-5000-7831-9,2009,G624.503,G624.503/2,97921
中国共产党党员语录,"钱奇, 骆志威主",中央文献出版社,978-7-5073-3198-1,2011,D263,D263/2,97920
墨菲定律 : 受益一生的黄金法则与人生定律,石磊,金盾出版社,978-7-5186-1530-8,2019,B848.4,B848.4/1495,9792
士兵群,刘世新,解放军文艺出版社,978-7-5033-2102-3,2007,I227,I227/61,97919
中外外交官看世界,邵华，乔宗淮主,世界知识出版社,7-5012-2660-1,2006,J431,J431/4,97918
《海外英语》. 1月-6月,,安徽科学技术出版社,7-5337-3328-2,2005,H319.4,H319.4/259,97917
走遍全球.澳大利亚,[日本]地球の步き方集室,中国旅游出版社,7-5032-1448-1,1998,K961.19,K961.19/2,97916
常用建筑五金手册,赵海风主,机械工业出版社,978-7-111-32097-5,2011,TU513-62,TU513-62/2,97915
高尔夫练习日志,(英)皮尔斯·李,辽宁科学技术出版社,978-7-5381-6186-1,2010,G849.3,G849.3/3,97914
三希堂法帖. 第六卷,刘峰主,四川美术出版社,7-81056-720-9,2009,J227,J227/3:6,97913
三希堂法帖. 第五卷,刘峰主,四川美术出版社,7-81056-720-9,2009,J227,J227/3:5,97912
三希堂法帖. 第四卷,刘峰主,四川美术出版社,7-81056-720-9,2009,J227,J227/3:4,97911
三希堂法帖. 第三卷,刘峰主,四川美术出版社,7-81056-720-9,2009,J227,J227/3:3,97910
哀歌集·黑海书简·伊比斯,(古罗马)奥维德,中国青年出版社,978-7-5153-5430-9,2018,I546.22,I546.22/6,9791
三希堂法帖. 第二卷,刘峰主,四川美术出版社,7-81056-720-9,2009,J227,J227/3:2,97909
三希堂法帖. 第一卷,刘峰主,四川美术出版社,7-81056-720-9,2009,J227,J227/3:1,97908
新编电子电路大全 : 合订本,孙俊人主,中国计量出版社,7-5026-1419-2,2001,TN710-62,TN710-62/2,97907
新概念英语美文欣赏. 第三册,新概念英语学习中心,中国石化出版社,978-7-80229-954-2,2009,H319.4,H319.4/222,97906
股色股香 : 一位投资银行家的欲望风景. 2版,萧宏慈，胡野碧,团结出版社,978-7-80130-875-7,2007,I247.54,I247.54/48,97905
惧婚男人,依然,中国画报出版社,978-7-80220-596-3,2009,I247.57,I247.57/1003,97904
全面建设小康社会文库. 3,张鸣主,中央民族大学出版社,7-81056-741-1,2002,F124.7,F124.7/3:3,97903
全面建设小康社会文库. 4,张鸣主,中央民族大学出版社,7-81056-741-1,2002,F124.7,F124.7/3:4,97902
"高等美术院校优秀录取生作品选. 中国美术学院, 色彩. 1",安滨主,安徽美术出版社,7-5398-1117-X,2003,J221,J221/58,97901
油画人体,崔小冬,安徽美术出版社,7-5398-1032-7,2003,J213.25,J213.25/2,97900
废墟的忧伤 : 西方现代文学漫读,吴晓东,北京大学出版社,978-7-301-29445-1,2018,I106,I106/80,9790
常见矿石分析手册,李华昌主,化学工业出版社,978-7-122-11079-4,2011,TD912-62,TD912-62/1,97899
恋爱中的宝贝 : [摄影集],,人民文学出版社,7-02-004460-3,2004,J905.2,J905.2/12,97898
中外名犬大观 : 分类介绍与彩图鉴赏,侯爽,中国林业出版社,978-7-5038-5785-0,2010,S829.2,S829.2/2,97897
经济与管理论文集. 2011. 2011,王澂主,中国经济出版社,978-7-5136-0801-5,2011,F20-53,F20-53/1,97896
Pro/ENGINEER中文野火版4.0曲面设计教程,詹友刚主,机械工业出版社,978-7-111-25916-9,2009,TH122,TH122/113,97895
时代之遇 : 新加坡美术馆藏东南亚美术精品展,范迪安，郭建超主,广西美术出版社,7-80746-030-X,2006,J133.01,J133.01/1,97894
现代企业推行ISO 14001环境管理体系标准实务,张进主,中国标准出版社,978-7-5066-4402-0,2007,X32-65,X32-65/7,97893
山形季央的设计世界,(日)山形季央,广西美术出版社,7-80625-858-2,2000,J531,J531/3,97892
井·色,井柏然,中国社会出版社,978-7-5087-3575-7,2011,K825.7=76,K825.7=76/4,97891
玻璃画艺术,曲扶犁,辽宁美术出版社,7-5314-2653-6,2001,J537.3,J537.3/1,97890
风波,丁华德,华龄出版社,978-7-5169-1186-0,2019,I247.54,I247.54/124,9789
时代之遇 : 新加坡美术馆藏东南亚美术精品展,范迪安，郭建超主,广西美术出版社,7-80746-030-X,2006,J133.01,J133.01/1,97889
艺伎回忆录 : 电影故事,(美)美国哥伦比亚影视公司等改,重庆出版社,7-5366-7511-9,2006,J905.712,J905.712/2,97888
实战步骤解析·素描人像. 2,张滨,辽宁美术出版社,978-7-5314-3719-2,2006,G634.955,G634.955/149,97887
漫画素描与人物表现,(日)美术出版社,辽宁科学技术出版社,978-7-5381-5897-7,2010,J218.2,J218.2/25,97886
工程制图,樊琳娟主,人民交通出版社,7-114-05674-5,2005,TB23,TB23/27,97885
微机原理与接口技术 : 基于嵌入式芯片,徐惠民[等],机械工业出版社,978-7-111-29621-8,2010,TP36,TP36/85,97884
"高等学校英语应用能力考试实考试题与模拟试题汇编. A级, Level A : 2010版",本书写组,高等教育出版社,978-7-04-030643-9,2010,H319.6,H319.6/114,97883
"高等学校英语应用能力考试实考试题与模拟试题汇编. B级, Level B : 2010版",本书写组,高等教育出版社,978-7-04-030645-3,2010,H319.6,H319.6/113,97882
中国田径裁判五十年 : 1949～2000 : 史略·规则演变·实践指导,张思温，沈纯德主,北京体育大学出版社,7-81051-645-0,2001,G820.4,G820.4/1,97881
乒乓长盛的训练学探索,国家体育总局《乒乓长盛考》研究课题组,北京体育大学出版社,7-81051-850-X,2002,G846.2,G846.2/1,97880
愿为天上月,锦竹,江苏凤凰文艺出版社,978-7-5594-2367-2,2018,I247.57,I247.57/2601,9788
主张 : 中国首届文笔峰会实录,陆文荣[等]主,九州出版社,978-7-5108-1337-5,2012,K203-53,K203-53/2,97879
"诗探索. 2010 第三辑, 作品卷",林莽，潘洗尘主,九州出版社,978-7-5108-0652-0,2010,I106.2,I106.2/5,97878
"诗探索. 2010 第三辑, 理论卷",吴思敬主,九州出版社,978-7-5108-0652-0,2010,I106.2,I106.2/4,97877
经济学. 第2版,张嫚主,经济科学出版社,978-7-5058-6119-0,2007,F0,F0/17,97876
中国基民手册,徐春主,中国市场出版社,978-7-5092-0213-5,2007,F830.59,F830.59/115,97875
美国环境百科全书,(美)威廉·P·坎宁安(William P.Cunningham)主,湖南科学技术出版社,7-5357-3594-0,2003,X-61,X-61/2,97874
恋爱中的宝贝 : [摄影集],,人民文学出版社,7-02-004460-3,2004,J905.2,J905.2/12,97873
股票软件纵览,蔡建勇,科学普及出版社,7-110-03594-8,1999,F830.91,F830.91/235,97872
旅游科研课题成果精选. 续编,国家旅游局,中国旅游出版社,978-7-5032-3795-9,2009,F592.3,F592.3/6,97871
中国企业家价值报告. 2004,上海荣正投资咨询有限公司，北京荣正智源管理咨询有限责任公司,百家出版社,7-80661-955-0,2004,F279.246,F279.246/30,97870
大漠祭,雪漠,中国大百科全书出版社,978-7-5202-0342-5,2018,I247.57,I247.57/2600,9787
经济学. 第2版,张嫚主,经济科学出版社,978-7-5058-6119-0,2007,F0,F0/15,97869
罗德里戈吉他曲集,"(西)华金·罗德里戈(Joaquin Rodrigo),晨曦",世界图书出版公司北京分公司,7-5062-3296-0,1998,J657.32,J657.32/1,97868
一汽大众迈腾(2004-2010)整车电路图大全. 上册,车德宝，车兴辰主,机械工业出版社,978-7-111-35657-8,2011,U469.110.2,U469.11/25,97867
股票软件纵览,蔡建勇,科学普及出版社,7-110-03594-8,1999,F830.91,F830.91/235,97866
企业所得税纳税调整与申报操作实务 : 新纳税申报表培训讲义,郭洪荣，陈云主,中国市场出版社,978-7-5092-0200-5,2007,F812.424,F812.424/28,97865
煤矿企业管理人员安全生产必备常识,冯小川，李宇燕主,中国建材工业出版社,978-7-80227-183-8,2007,D922.549,D922.549/3,97864
博弈论的诡计大全集. 3,欧俊,中国华侨出版社,978-7-5113-0956-3,2011,O225-49,O225-49/11:3,97863
小企业会计制度及相关法规应用指南,许太谊主,中国市场出版社,7-80155-762-X,2004,F279.243,F279.243/15,97862
2012版考研数学十年真题全方位解码 : 2008版. 数学三,世华，潘正义主,世界图书出版公司北京公司,978-7-5062-7922-2,2007,O13,O13/83,97861
中国旅游交通博览 : 2009版,黄金山主,中国旅游出版社,978-7-5032-3789-8,2009,F592,F592/3,97860
呢喃燕语,胡燕,天津人民出版社,978-7-201-11599-3,2018,G718.3-53,G718.3-53/1,9786
企业所得税疑难问题解析,辛连珠主,人民出版社,978-7-01-006021-7,2007,F812.424,F812.424/27,97859
荒火浴,亚君,北京十月文艺出版社,7-5302-0702-4,2003,I247.57,I247.57/1002,97858
袁伟民与体坛风云,远山,江苏人民出版社,978-7-214-06044-0,2009,K825.47,K825.47/5,97857
家装预算高手系列. 百变混搭,王勇主,机械工业出版社,978-7-111-29351-4,2010,TU723.3,TU723.3/37,97856
大腕创意 : 全球著名企业和品牌平面广告创意经典,冯斌，汤喜燕，周建中,安徽科学技术出版社,7-5337-2952-8,2004,J534.3,J534.3/3,97855
中国税收制度 : 2004年版,朱振民等主,企业管理出版社,7-80197-097-7,2004,F812.422,F812.422/21,97854
美国环境百科全书,(美)威廉·P·坎宁安(William P.Cunningham)主,湖南科学技术出版社,7-5357-3594-0,2003,X-61,X-61/2,97853
小企业会计制度及相关法规应用指南,许太谊主,中国市场出版社,7-80155-762-X,2004,F279.243,F279.243/15,97852
2012版考研数学十年真题全方位解码 : 2008版. 数学二. 第2版,世华，潘正义主,世界图书出版公司北京公司,978-7-5062-7922-2,2007,O13,O13/83,97851
中国基金投资指南,徐春主,中国市场出版社,978-7-5092-0214-2,2007,F832.51,F832.51/98,97850
做最棒的男孩,李震，陶玲,中国纺织出版社有限公司,978-7-5180-6306-2,2019,B848.4-49,B848.4-49/815,9785
小企业会计制度及相关法规应用指南,许太谊主,中国市场出版社,7-80155-762-X,2004,F279.243,F279.243/15,97849
风雅西塘,白毅主,中国旅游出版社,978-7-5032-2874-2,2006,K925.55,K925.55/2,97848
2008-2010款汽车发动机系统电路图集. 欧美分册,马思驰,机械工业出版社,978-7-111-31840-8,2011,U464.02,U464.02/2,97847
2008～2010款汽车发动机系统电路图集. 增补分册,马思驰,机械工业出版社,978-7-111-35087-3,2011,U464.02,U464.02/1,97846
别克车系电路图集,鲁学柱主,机械工业出版社,978-7-111-31817-0,2011,U469.11,U469.11/1,97845
新编电子电路大全 : 合订本,孙俊人主,中国计量出版社,7-5026-1419-2,2001,TN710-62,TN710-62/2,97844
战机七视图,(英)罗伯特·杰克逊(Robert Jackson),机械工业出版社,978-7-111-36732-1,2012,E926.3,E926.3/1,97843
珍藏周杰伦,蔡荣丰摄影,明天出版社,978-7-5332-5585-5,2008,K825.76,K825.76/19,97842
百虎画谱,王重来,上海人民美术出版社,978-7-5322-6290-8,2010,J212.28,J212.28/14,97841
服务业国际通用管理标准全程实施方案. 上,安维洲,中国标准出版社,7-5066-3248-9,2003,F719-65,F719-65/2:1,97840
风情不摇晃,初禾初,百花洲文艺出版社,978-7-5500-3193-7,2019,I247.57,I247.57/2599,9784
海外英语 : 2005年《海外英语》下半年合订本(7月~12月),,安徽科学技术出版社,978-7-5337-3453-4,2006,H31-55,H31-55/1,97839
Pro/ENGINEER中文野火版5.0模具设计教程. 2版,詹友刚主,机械工业出版社,978-7-111-31273-4,2010,TG760.2,TG760.2/10,97838
CATIA V5基础教程. 2版,上海江达科技发展有限公司,机械工业出版社,978-7-111-17706-7,2008,TH122,TH122/124,97837
模具设计教程. 3版,展迪优主,机械工业出版社,978-7-111-36513-6,2012,TG760.2,TG760.2/9,97836
AutoCAD 2011新手完全自学手册,凤舞,机械工业出版社,978-7-111-34282-3,2011,TP391.72,TP391.72/102,97835
Photoshop CS5数码照片处理从入门到精通 : 实战版,锐拓设计,机械工业出版社,978-7-111-35233-4,2012,TP391.41,TP391.41/447,97834
企业所得税疑难问题解析,辛连珠主,人民出版社,978-7-01-006021-7,2007,F812.424,F812.424/27,97833
小企业会计制度及相关法规应用指南,许太谊主,中国市场出版社,7-80155-762-X,2004,F279.243,F279.243/15,97832
风雅西塘,白毅主,中国旅游出版社,978-7-5032-2874-2,2006,K925.55,K925.55/2,97831
"吉他教材. 2. 下, 进阶篇",王志铭，卓锦汉,人民音乐出版社,978-7-103-03961-8,2010,J623.26,J623.26/17,97830
高效能人士的自控训练课,墨羽,中国商业出版社,978-7-5208-0182-9,2018,B842.6,B842.6/226,9783
电脑广告设计,雷波主,高等教育出版社,978-7-04-025903-2,2009,J524.3-39,J524.3-39/2,97829
在希望的田野上,芦小鸥主,人民音乐出版社,978-7-103-04034-8,2010,J647.71,J647.71/4,97828
家装预算高手系列. 经济简约,王勇主,机械工业出版社,978-7-111-29348-4,2010,TU723.3,TU723.3/30,97827
新设计系列. 客厅,张晓晶主,机械工业出版社,978-7-111-29347-7,2010,TU241-64,TU241-64/188,97826
新设计系列. 儿童房·婚房,张晓晶主,机械工业出版社,978-7-111-29311-8,2010,TU241-64,TU241-64/47,97825
家居背景墙设计1688例. 个性混搭,刘杰主,机械工业出版社,978-7-111-31732-6,2010,TU241-64,TU241-64/187,97824
家装材料注释及工艺要点1268例. 客厅,冯钒津主,机械工业出版社,978-7-111-31060-0,2010,TU56,TU56/9,97823
A次列车,芦小鸥主,人民音乐出版社,978-7-103-04036-2,2010,J647.71,J647.71/3,97822
家装材料注释及工艺要点1268例. 餐厅·厨房·卫浴,冯钒津主,机械工业出版社,978-7-111-31062-4,2010,TU56,TU56/3,97821
万马奔腾,芦小鸥主,人民音乐出版社,978-7-103-04037-9,2010,J647.71,J647.71/2,97820
灵秀轻飏,董承,北方文艺出版社,978-7-5317-4673-7,2019,I227,I227/457,9782
曼波5号,芦小鸥主,人民音乐出版社,978-7-103-04035-5,2010,J647.71,J647.71/1,97819
餐厅·书房,张晓晶主,机械工业出版社,978-7-111-29309-5,2010,TU767-64,TU767-64/5,97818
罗德里戈吉他曲集,(西)华金·罗德里戈(Joaquin Rodrigo),世界图书出版公司北京分公司,7-5062-3296-0,1998,J657.32,J657.32/1,97817
中国居民膳食指南 : 精编版,葛可佑主,人民出版社,978-7-01-009561-5,2011,R151.4,R151.4/24,97816
顶级. 香水·化妆品,叶轻舟,北京工业大学出版社,978-7-5639-1832-4,2007,F76,F76/15,97815
伟大的建筑革命 : 西方近代、现代与当代建筑,萧默,机械工业出版社,978-7-111-20543-2,2007,TU-091,TU-091/12,97814
香薰恋人.2,灵希,作家出版社,978-7-5063-3948-3,2007,I247.5,I247.5/100,97813
中国医疗器械科技创新与产业竞争力国际比较,中国生物技术发展中心组织写,科学出版社,978-7-03-029735-8,2010,F426.7,F426.7/9,97812
商务统计 : 英文版. 影印版,(美)戴维·F. 格罗布纳(David F. Groebner)[等],机械工业出版社,978-7-111-20560-9,2007,F712.3,F712.3/8,97811
造型设计完美风暴 : Rhino 4.0完全实例教程,叶德辉，刘伟元,科学出版社,978-7-03-028798-4,2010,TB472-39,TB472-39/50,97810
彼岸花·见相思. 下,女巫的猫[],江苏凤凰文艺出版社,978-7-5594-2694-9,2018,I247.57,I247.57/2598:2,9781
计算机网络 : 自顶向下方法 : a top-down approach,(美)James F. Kurose，(美)Keith W. Ross,机械工业出版社,978-7-111-16505-7,2009,TP393,TP393/79,97809
新编电子电路大全 : 合订本,孙俊人主,中国计量出版社,7-5026-1419-2,2001,TN710-62,TN710-62/2,97808
室内细部设计系列图集. 住宅,"(韩)建筑世界出版社,刘晓",山东科学技术出版社,7-5331-3651-9,2004,TU238-64,TU238-64/42,97807
新世纪塑钢门窗实用图集,李志英，杨静,中国建材工业出版社,7-80090-882-8,1999,TU228-64,TU228-64/2,97806
中国旅行地图册 : 英文本,星球地图出版社,星球地图出版社,7-80104-510-6,2001,K992.9,K992.9/8,97805
调侃黑白. 3版,章开元,陕西旅游出版社,7-5418-1310-9,2005,J431,J431/3,97804
统战工作,闫秋实,中共党史出版社,978-7-80199-225-3,2005,D613,D613/1,97803
天堂不要我. 第一部. 下,蔡晓伟[绘],中国市场出版社,978-7-5092-0144-2,2007,J228.2,J228.2/74:2,97802
天堂不要我. 第一部. 上,蔡晓伟[绘],中国市场出版社,978-7-5092-0144-2,2007,J228.2,J228.2/74:1,97801
工程项目施工组织与进度管理便携手册,陈爱莲主,地震出版社,7-5028-2721-8,2005,TU721-62,TU721-62/1,97800
爱暖朝阳,爱暖朝阳慈善故事优秀作品集委会,红旗出版社,978-7-5051-4662-4,2018,D632.1,D632.1/46,9780
大设计,"史蒂芬·霍金, 列纳德·蒙洛迪诺",湖南科学技术出版社,978-7-5357-6544-4,2011,Z228,Z228/67,97799
西风颂,(英)雪莱,机械工业出版社,978-7-111-29424-5,2010,H319.4,H319.4/258,97798
近代中国华洋机构译名大全,孙修福,中国海关出版社,7-80165-091-3,2003,H315.9,H315.9/50,97797
乒乓长盛的训练学探索,国家体育总局《乒乓长盛考》研究课题组,北京体育大学出版社,7-81051-850-X,2002,G846.2,G846.2/1,97796
意大利,[日本]地球の步き方集室,中国旅游出版社,7-5032-1445-7,1999,K954.69,K954.69/2,97795
中国田径裁判五十年 : 1949～2000 : 史略·规则演变·实践指导,张思温，沈纯德主,北京体育大学出版社,7-81051-645-0,2001,G820.4,G820.4/1,97794
普罗旺斯的两个小镇之艾克斯. Aix,"(美)M. F. K. 费雪,张雅楠",新星出版社,978-7-5133-0095-7,2010,I712.65,I712.65/12,97793
看戏节目单,杭程,新星出版社,978-7-5133-0065-0,2010,J809.2,J809.2/2,97792
乒乓长盛的训练学探索,国家体育总局《乒乓长盛考》研究课题组,北京体育大学出版社,7-81051-850-X,2002,G846.2,G846.2/1,97791
汉字标志创意,张海清,西苑出版社,7-80108-736-4,2003,J292.13,J292.13/8,97790
对工作负责 让领导放心,姜正成,中华工商联合出版社,978-7-5158-2296-9,2019,B822.9,B822.9/73,9779
物权法·总则,屈茂辉,中国法制出版社,7-80182-519-5,2005,D923.24,D923.24/11,97789
科学教育的文化功能,何妮妮主,北京出版社,978-7-200-08353-8,2010,G40-05,G40-05/4,97788
中老年人学电脑上网 : 绿色健康版,前沿文化,科学出版社,978-7-03-029500-2,2011,TP393.4,TP393.4/75,97787
东北咋整 : 东北问题报告,宁一，冬宁,当代世界出版社,7-80115-759-1,2004,F127.3,F127.3/2,97786
699美金飞遍新东欧,朱兆瑞,中华书局,978-7-101-06311-0,2008,I267.4,I267.4/34,97785
私家北京,何颖摄影/插画,新星出版社,978-7-5133-0101-5,2010,K928.91,K928.91/6,97784
迈向法治社会 : 对若干法律制度问题的研究与思考,蔡尚义,中国市场出版社,978-7-5092-0463-4,2009,D926-53,D926-53/4,97783
多功能常用字典 : 唯物汉字检索法排列,黄金富等主,新华出版社,7-5011-2411-6,1994,H087-61,H087-61/1,97782
许衡评传. 下,陈正夫，何植靖,南京大学出版社,978-7-305-06104-2,2011,B244.995,B244.995/4:2,97781
乒乓长盛的训练学探索,国家体育总局《乒乓长盛考》研究课题组,北京体育大学出版社,7-81051-850-X,2002,G846.2,G846.2/1,97780
心瘾. 下,弱水千流,百花洲文艺出版社,978-7-5500-2698-8,2018,I247.57,I247.57/2596：2,9778
中国田径裁判五十年 : 1949～2000 : 史略·规则演变·实践指导,张思温，沈纯德主,北京体育大学出版社,7-81051-645-0,2001,G820.4,G820.4/1,97779
无机非金属材料实验技术,高里存，任耘,冶金工业出版社,978-7-5024-4223-1,2007,TB321.02,TB321.02/1,97778
工程项目施工组织与进度管理便携手册,陈爱莲主,地震出版社,7-5028-2721-8,2005,TU721-62,TU721-62/1,97777
近代中国华洋机构译名大全,孙修福,中国海关出版社,7-80165-091-3,2003,H315.9,H315.9/50,97776
新女驸马. 下,毅轩,重庆出版社,978-7-229-00770-6,2009,I247.57,I247.57/1000:2,97775
新女驸马. 上,毅轩,重庆出版社,978-7-229-00770-6,2009,I247.57,I247.57/1000：1,97774
兔匪匪的“洗具”生活,何士伟,中国时代经济出版社,978-7-5119-0133-0,2010,J228.2,J228.2/73,97773
美国环境百科全书,(美)威廉·P·坎宁安(William P.Cunningham)主,湖南科学技术出版社,7-5357-3594-0,2003,X-61,X-61/2,97772
博弈论的诡计大全集. 1,欧俊,中国华侨出版社,978-7-5113-0956-3,2011,O225-49,O225-49/11:1,97771
博弈论的诡计大全集. 2,欧俊,中国华侨出版社,978-7-5113-0956-3,2011,O225-49,O225-49/11:2,97770
彼岸花·见相思. 上,女巫的猫[],江苏凤凰文艺出版社,978-7-5594-2694-9,2018,I247.57,I247.57/2598:1,9777
香薰恋人.2,灵希,作家出版社,978-7-5063-3948-3,2007,I247.5,I247.5/100,97769
金融衍生交易法律规制及法律风险管理,郭燕，闫洪升,中国人民公安大学出版社,978-7-81139-945-5,2010,D912.28,D912.28/3,97768
青春“防火墙” : 青少年安全健康与防护,许在华， 周波,中国人民公安大学出版社,978-7-81139-904-2,2010,X925,X925/2,97767
交往之道,于民雄，曹维琼,贵州人民出版社,7-221-04074-5,1998,C912.1,C912.1/229,97766
出关,李镜,解放军文艺出版社,7-5033-1841-4,2005,I247.52,I247.52/34,97765
法律政策解读与实用范本典型案例全书. 婚姻家庭,李晓斌丛书主,中国法制出版社,978-7-5093-1546-0,2010,D923.904,D923.90/1,97764
中国古代短篇小说精选,"东山,秋名",内蒙古文化出版社,978-7-80675-631-7,2009,I242.7,I242.7/1,97763
“过错”的死亡 : 中英侵权法宏观比较研究及思考. 2版,胡雪梅,中国政法大学出版社,978-7-5620-3522-0,2009,D923.04,D923.04/5,97762
测量员一本通,岳永铭主,中国建材工业出版社,978-7-80227-382-5,2008,TU198,TU198/12,97761
大学物理概念分析与解题指导,徐永安等,北京工业大学出版社,7-5639-1227-4,2003,O4,O4/35,97760
赌跤,姚宗瑛,天津人民出版社,978-7-201-13239-6,2018,I247.57,I247.57/2597,9776
股市投资速查手册 : 新股民版,博金理财工作室,机械工业出版社,978-7-111-36384-2,2012,F830.91,F830.91/234,97759
天使进化论,"玛珈文,魏纬,喻未然",华文出版社,7-5075-1678-4,2004,I287.45,I287.45/29,97758
初踏疆场,凌行正,解放军文艺出版社,7-5033-1936-4,2006,I267,I267/249,97757
中国女人吃不胖. 塑身消脂,她品厨委会,广西科学技术出版社,978-7-80666-873-3,2007,R151.1,R151.1/36,97756
一生要会运用的成语故事 一生要会运用的寓言故事,赵亚虎,时事出版社,7-80009-969-5,2006,H136.3,H136.3/21,97755
"G小调进行曲. 1, 这该死的混血王子",小妮子,北岳文艺出版社,978-7-5378-2809-3,2005,I247.57,I247.57/987,97754
一生要有的100种人缘(能力),刘丹,时事出版社,7-80232-024-0,2006,B848.1,B848.1/2,97753
阳光梁艺,梁艺,黑龙江美术出版社,978-7-5318-1740-6,2006,K825.42=76,K825.42/4,97752
医事 : 关于医的隐情与智慧,讴歌,北京出版社,978-7-200-06474-2,2006,R-49,R-49/1,97751
罗伯特议事规则操作指南 : 美国民间流传近150年的会议组织指导手册,赵涛,北京工业大学出版社,978-7-5639-1871-3,2008,C931.47,C931.47/4,97750
心瘾. 上,弱水千流,百花洲文艺出版社,978-7-5500-2698-8,2018,I247.57,I247.57/2596：1,9775
西方后宫的那些事,陈春锋,中国画报出版社,978-7-80220-657-1,2010,K109,K109/46,97749
拯救睡眠,高红敏,中国长安出版社,978-7-5107-0207-5,2010,R749.7,R749.7/4,97748
帝国政界往事. 前清秘史——入主中原之路,李亚平,北京出版社,978-7-200-06999-0,2007,K220.7,K220.7/3,97747
桑青与桃红,(美)聂华苓,北岳文艺出版社,7-5378-2657-9,2004,I712.45,I712.45/93,97746
计算机文化,叶飞跃主,机械工业出版社,7-111-09067-5,2001,TP3,TP3/300,97745
计算机原理与维修,巢良存主,中国商业出版社,7-5044-3533-3,1997,TP3-43,TP3-43/3,97744
插花艺术集锦,阿瑛,大众文艺出版社,7-80171-461-X,2004,J525.1,J525.1/21,97743
