书名,作者,出版社,ISBN,出版年,分类号,索书号,记录ID
他们有才，亦有爱 : 宋词中的缱绻爱情 : 彩图珍藏版,蓝风,现代出版社,978-7-5143-8059-0,2019,I207.23,I207.23/74,9910
百思不解的战争之谜,周世军主,蓝天出版社,978-7-5094-0430-0,2010,E19-49,E19-49/7,99099
水系统集成优化 : 节水减排的系统综合方法,冯霄[等],化学工业出版社,978-7-122-02152-6,2008,TU991.64,TU991.64/3,99096
唐诗三百首新赏 : 精装典藏版,邱燮友主,北京理工大学出版社有限责任公司,978-7-5682-6382-5,2018,I207.22,I207.22/118,9909
北面的山,何招鑫,文汇出版社,978-7-5496-2860-5,2019,I227,I227/461,9908
神奇的太空探测器,本书写组,广东世界图书出版公司,978-7-5100-2831-1,2010,V476.4,V476.4/1,99075
情绪管理 : 远离郁闷，做快乐的自己,辉浩,台海出版社,978-7-5168-2167-1,2019,B842.6-49,B842.6-49/131,9907
甾体化学,谭仁祥主,化学工业出版社,978-7-122-03624-7,2009,O629.2,O629.2/1,99063
"盲点 : 为什么我们易被偏见左右？ : how we look without seeing, forget things in seconds, and are all pretty sure we are way above average",(美)约瑟夫·哈利南(Joseph T. Hallinan),中信出版集团股份有限公司,978-7-5217-0298-9,2019,B842.1,B842.1/10,9906
我的青春我做主,冉方华,九州出版社,978-7-5108-0081-8,2009,I247.57,I247.57/862,99057
汉宫名媛王昭君. 下册,高阳,团结出版社,978-7-80130-935-8,2005,I247.53,I247.53/18:1,99055
SEO教程 : 搜索引擎优化入门与进阶,吴泽欣,人民邮电出版社,978-7-115-18995-0,2008,G354.4,G354.4/10,99053
《主祷文》要理问答 : a Chinese catechism,游斌,宗教文化出版社,978-7-5188-0773-4,2019,B975.1-44,B975.1-44/1,9905
黄酮化学,张培成主,化学工业出版社,978-7-122-03626-1,2009,O626.31,O626.31/1,99044
七子之歌 : 闻一多诗歌散文经典,闻一多,吉林出版集团股份有限公司,978-7-5581-2902-5,2018,I226.1,I226.1/4,9904
Visual Studio程序员箴言,(美)Sara Ford,人民邮电出版社,978-7-115-21572-7,2010,TP312,TP312/59,99038
古文观止,魏雯，李凤英,西苑出版社,978-7-80210-873-8,2011,H194.1,H194.1/14,99034
Java EE设计模式 : Spring企业级开发最佳实践 : best practices and design strategies implementing Java EE patterns with the spring framework,"(印)Dhrubojyoti Kayal,张平,龚波,李平芳",人民邮电出版社,978-7-115-22129-2,2010,TP312JA,TP312JA/98,99033
项目管理修炼之道,(美)Johanna Rothman,人民邮电出版社,978-7-115-21361-7,2009,TP311.52,TP311.52/9,99030
逃，小桃 : 人不可能也从未完全拥有过自己,杰森,百花洲文艺出版社,978-7-5500-3382-5,2019,I247.57,I247.57/2609,9903
青少年体育比赛中应该懂得的礼仪,《青少年体育比赛中应该懂得的礼仪》写组,广东世界图书出版公司,978-7-5100-1588-5,2010,G808.2-49,G808.2-49/1,99022
